maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
3.0,-0.0,1.0,-3.0,50.0,82.0,0.1,2.0,15.0,72.0,2018.0,1.0,2,0.0,-0.0
3.0,-0.0,1.0,-3.0,52.0,80.0,0.0,3.0,13.0,72.0,2018.0,1.0,2,1.0,0.0
3.0,-0.0,1.0,-2.0,54.0,78.0,0.1,4.0,10.0,72.0,2018.0,1.0,2,2.0,1.0
3.0,-0.0,1.0,-2.0,56.0,76.0,0.1,5.0,8.0,72.0,2018.0,1.0,2,3.0,2.0
3.0,-0.0,1.0,-2.0,68.0,76.0,0.1,7.0,10.0,72.0,2018.0,1.0,2,4.0,2.0
3.0,-0.0,1.0,-2.0,81.0,76.0,0.0,8.0,12.0,72.0,2018.0,1.0,2,5.0,2.0
3.0,-0.0,1.0,-2.0,94.0,76.0,0.0,10.0,14.0,72.0,2018.0,1.0,2,6.0,2.0
3.0,-0.0,1.0,-1.0,72.0,75.0,0.0,10.0,17.0,72.0,2018.0,1.0,2,7.0,3.0
3.0,-0.0,1.0,-1.0,50.0,74.0,0.1,9.0,20.0,72.0,2018.0,1.0,2,8.0,3.0
3.0,-0.0,1.0,-1.0,29.0,74.0,0.1,9.0,23.0,72.0,2018.0,1.0,2,9.0,3.0
3.0,-0.0,1.0,-1.0,25.0,75.0,0.0,9.0,20.0,72.0,2018.0,1.0,2,10.0,3.0
3.0,-0.0,1.0,-1.0,21.0,76.0,0.0,10.0,16.0,72.0,2018.0,1.0,2,11.0,2.0
3.0,-0.0,1.0,-2.0,17.0,78.0,0.0,10.0,13.0,72.0,2018.0,1.0,2,12.0,2.0
3.0,-0.0,1.0,-2.0,36.0,79.0,0.0,10.0,15.0,72.0,2018.0,1.0,2,13.0,2.0
3.0,-0.0,1.0,-1.0,54.0,80.0,0.0,10.0,17.0,72.0,2018.0,1.0,2,14.0,2.0
3.0,-0.0,1.0,-1.0,72.0,81.0,0.0,10.0,18.0,72.0,2018.0,1.0,2,15.0,2.0
3.0,-0.0,1.0,-1.0,70.0,81.0,0.0,10.0,15.0,72.0,2018.0,1.0,2,16.0,2.0
3.0,-0.0,1.0,-1.0,69.0,81.0,0.0,10.0,12.0,72.0,2018.0,1.0,2,17.0,2.0
3.0,-0.0,1.0,-1.0,68.0,81.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,18.0,2.0
3.0,-0.0,1.0,-2.0,68.0,81.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,19.0,1.0
3.0,-0.0,1.0,-2.0,69.0,81.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,20.0,1.0
3.0,-0.0,1.0,-2.0,69.0,82.0,0.0,10.0,9.0,72.0,2018.0,1.0,2,21.0,1.0
3.0,-0.0,1.0,-2.0,71.0,82.0,0.0,10.0,8.0,72.0,2018.0,1.0,2,22.0,1.0
3.0,-0.0,1.0,-2.0,73.0,83.0,0.0,10.0,7.0,72.0,2018.0,1.0,2,23.0,0.0
-0.0,-2.0,1.0,-2.0,75.0,84.0,0.0,10.0,6.0,72.0,2018.0,1.0,3,0.0,0.0
-0.0,-2.0,1.0,-2.0,78.0,84.0,0.0,10.0,5.0,72.0,2018.0,1.0,3,1.0,0.0
-0.0,-2.0,1.0,-3.0,81.0,84.0,0.0,10.0,5.0,72.0,2018.0,1.0,3,2.0,-0.0
-0.0,-2.0,1.0,-3.0,84.0,84.0,0.0,10.0,4.0,72.0,2018.0,1.0,3,3.0,-0.0
-0.0,-2.0,1.0,-3.0,89.0,85.0,0.0,10.0,4.0,72.0,2018.0,1.0,3,4.0,-1.0
-0.0,-2.0,1.0,-3.0,95.0,86.0,0.1,9.0,5.0,72.0,2018.0,1.0,3,5.0,-1.0
-0.0,-2.0,1.0,-3.0,100.0,87.0,0.1,9.0,5.0,72.0,2018.0,1.0,3,6.0,-1.0
-0.0,-2.0,1.0,-3.0,90.0,88.0,0.0,9.0,5.0,72.0,2018.0,1.0,3,7.0,-1.0
-0.0,-2.0,1.0,-3.0,80.0,89.0,0.0,10.0,4.0,72.0,2018.0,1.0,3,8.0,-2.0
-0.0,-2.0,1.0,-3.0,70.0,90.0,0.0,10.0,3.0,72.0,2018.0,1.0,3,9.0,-2.0
-0.0,-2.0,1.0,-3.0,80.0,92.0,0.0,7.0,4.0,72.0,2018.0,1.0,3,10.0,-2.0
-0.0,-2.0,1.0,-3.0,90.0,93.0,0.2,5.0,4.0,72.0,2018.0,1.0,3,11.0,-2.0
-0.0,-2.0,1.0,-2.0,100.0,94.0,0.3,2.0,4.0,72.0,2018.0,1.0,3,12.0,-2.0
-0.0,-2.0,1.0,-2.0,100.0,95.0,0.1,2.0,6.0,72.0,2018.0,1.0,3,13.0,-1.0
-0.0,-2.0,1.0,-2.0,100.0,95.0,0.4,2.0,7.0,72.0,2018.0,1.0,3,14.0,-1.0
-0.0,-2.0,1.0,-2.0,100.0,95.0,0.5,2.0,8.0,72.0,2018.0,1.0,3,15.0,-1.0
-0.0,-2.0,1.0,-2.0,96.0,94.0,0.2,2.0,8.0,72.0,2018.0,1.0,3,16.0,-1.0
-0.0,-2.0,1.0,-1.0,93.0,93.0,0.4,2.0,8.0,72.0,2018.0,1.0,3,17.0,-1.0
-0.0,-2.0,1.0,-1.0,89.0,93.0,0.6,2.0,8.0,72.0,2018.0,1.0,3,18.0,-0.0
-0.0,-2.0,1.0,-2.0,81.0,92.0,0.3,3.0,9.0,72.0,2018.0,1.0,3,19.0,-1.0
-0.0,-2.0,1.0,-3.0,73.0,90.0,0.5,4.0,11.0,72.0,2018.0,1.0,3,20.0,-1.0
-0.0,-2.0,1.0,-3.0,65.0,89.0,0.7,5.0,13.0,72.0,2018.0,1.0,3,21.0,-2.0
-0.0,-2.0,1.0,-4.0,61.0,88.0,0.3,6.0,11.0,72.0,2018.0,1.0,3,22.0,-2.0
-0.0,-2.0,1.0,-4.0,58.0,87.0,0.1,6.0,10.0,72.0,2018.0,1.0,3,23.0,-2.0
-4.0,-7.0,1.0,-4.0,54.0,85.0,0.1,7.0,8.0,72.0,2018.0,1.0,4,0.0,-2.0
-4.0,-7.0,1.0,-5.0,45.0,85.0,0.0,8.0,8.0,72.0,2018.0,1.0,4,1.0,-3.0
-4.0,-7.0,1.0,-5.0,37.0,85.0,0.0,9.0,8.0,72.0,2018.0,1.0,4,2.0,-3.0
-4.0,-7.0,1.0,-5.0,28.0,85.0,0.0,10.0,8.0,72.0,2018.0,1.0,4,3.0,-3.0
-4.0,-7.0,1.0,-6.0,27.0,85.0,0.0,10.0,7.0,72.0,2018.0,1.0,4,4.0,-4.0
-4.0,-7.0,1.0,-6.0,25.0,85.0,0.0,10.0,5.0,72.0,2018.0,1.0,4,5.0,-4.0
-4.0,-7.0,1.0,-7.0,23.0,85.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,6.0,-4.0
-4.0,-7.0,1.0,-7.0,20.0,86.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,7.0,-5.0
-4.0,-7.0,1.0,-7.0,16.0,87.0,0.0,10.0,2.0,72.0,2018.0,1.0,4,8.0,-5.0
-4.0,-7.0,1.0,-8.0,12.0,87.0,0.0,10.0,1.0,72.0,2018.0,1.0,4,9.0,-6.0
-4.0,-7.0,1.0,-7.0,14.0,88.0,0.0,10.0,1.0,72.0,2018.0,1.0,4,10.0,-6.0
-4.0,-7.0,1.0,-7.0,16.0,89.0,0.0,10.0,2.0,72.0,2018.0,1.0,4,11.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,90.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,12.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,90.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,13.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,91.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,14.0,-6.0
-4.0,-7.0,1.0,-7.0,18.0,91.0,0.0,10.0,5.0,72.0,2018.0,1.0,4,15.0,-6.0
-4.0,-7.0,1.0,-7.0,12.0,91.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,16.0,-6.0
-4.0,-7.0,1.0,-7.0,6.0,90.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,17.0,-5.0
-4.0,-7.0,1.0,-6.0,0.0,90.0,0.0,10.0,2.0,72.0,2018.0,1.0,4,18.0,-5.0
-4.0,-7.0,1.0,-7.0,0.0,89.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,19.0,-6.0
-4.0,-7.0,1.0,-8.0,0.0,88.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,20.0,-6.0
-4.0,-7.0,1.0,-8.0,0.0,88.0,0.0,10.0,5.0,72.0,2018.0,1.0,4,21.0,-7.0
-4.0,-7.0,1.0,-9.0,0.0,86.0,0.0,10.0,4.0,72.0,2018.0,1.0,4,22.0,-7.0
-4.0,-7.0,1.0,-9.0,0.0,85.0,0.0,10.0,3.0,72.0,2018.0,1.0,4,23.0,-7.0
-5.0,-7.0,2.0,-11.0,22.0,72.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,0.0,-7.0
-5.0,-7.0,2.0,-10.0,30.0,74.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,1.0,-6.0
-5.0,-7.0,2.0,-10.0,37.0,75.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,2.0,-6.0
-5.0,-7.0,2.0,-9.0,45.0,77.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,3.0,-6.0
-5.0,-7.0,2.0,-9.0,47.0,77.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,4.0,-6.0
-5.0,-7.0,2.0,-9.0,48.0,77.0,0.0,10.0,8.0,72.0,2018.0,1.0,6,5.0,-6.0
-5.0,-7.0,2.0,-9.0,50.0,77.0,0.0,10.0,9.0,72.0,2018.0,1.0,6,6.0,-6.0
-5.0,-7.0,2.0,-9.0,49.0,77.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,7.0,-6.0
-5.0,-7.0,2.0,-9.0,48.0,77.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,8.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,77.0,0.0,10.0,4.0,72.0,2018.0,1.0,6,9.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,78.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,10.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,78.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,11.0,-5.0
-5.0,-7.0,2.0,-8.0,47.0,79.0,0.0,10.0,7.0,72.0,2018.0,1.0,6,12.0,-5.0
-5.0,-7.0,2.0,-8.0,46.0,80.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,13.0,-5.0
-5.0,-7.0,2.0,-8.0,45.0,80.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,14.0,-5.0
-5.0,-7.0,2.0,-7.0,44.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,15.0,-5.0
-5.0,-7.0,2.0,-8.0,46.0,82.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,16.0,-5.0
-5.0,-7.0,2.0,-8.0,49.0,82.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,17.0,-6.0
-5.0,-7.0,2.0,-8.0,51.0,83.0,0.0,10.0,5.0,72.0,2018.0,1.0,6,18.0,-6.0
-5.0,-7.0,2.0,-8.0,57.0,82.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,19.0,-6.0
-5.0,-7.0,2.0,-8.0,64.0,82.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,20.0,-6.0
-5.0,-7.0,2.0,-8.0,70.0,82.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,21.0,-6.0
-5.0,-7.0,2.0,-9.0,63.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,22.0,-6.0
-5.0,-7.0,2.0,-9.0,56.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,6,23.0,-6.0
-7.0,-8.0,2.0,-9.0,49.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,7,0.0,-7.0
-7.0,-8.0,2.0,-9.0,43.0,81.0,0.0,10.0,6.0,72.0,2018.0,1.0,7,1.0,-7.0
-7.0,-8.0,2.0,-9.0,37.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,2.0,-7.0
-7.0,-8.0,2.0,-10.0,32.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,3.0,-7.0
-7.0,-8.0,2.0,-10.0,27.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,4.0,-7.0
-7.0,-8.0,2.0,-10.0,23.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,5.0,-7.0
-7.0,-8.0,2.0,-10.0,19.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,6.0,-7.0
-7.0,-8.0,2.0,-10.0,20.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,7.0,-7.0
-7.0,-8.0,2.0,-10.0,21.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,8.0,-7.0
-7.0,-8.0,2.0,-10.0,22.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,9.0,-7.0
-7.0,-8.0,2.0,-10.0,22.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,10.0,-7.0
-7.0,-8.0,2.0,-10.0,23.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,11.0,-7.0
-7.0,-8.0,2.0,-10.0,23.0,81.0,0.0,10.0,3.0,72.0,2018.0,1.0,7,12.0,-7.0
-7.0,-8.0,2.0,-10.0,21.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,13.0,-7.0
-7.0,-8.0,2.0,-10.0,19.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,14.0,-7.0
-7.0,-8.0,2.0,-9.0,17.0,81.0,0.0,10.0,5.0,72.0,2018.0,1.0,7,15.0,-7.0
-7.0,-8.0,2.0,-10.0,19.0,81.0,0.0,10.0,4.0,72.0,2018.0,1.0,7,16.0,-7.0
