maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
-0.0,-8.0,2.0,-12.0,11.0,69.0,0.0,10.0,4.0,18.0,2018.0,1.0,1,0.0,-7.0
-0.0,-8.0,2.0,-12.0,9.0,69.0,0.0,10.0,5.0,18.0,2018.0,1.0,1,1.0,-8.0
-0.0,-8.0,2.0,-12.0,8.0,70.0,0.0,10.0,5.0,18.0,2018.0,1.0,1,2.0,-8.0
-0.0,-8.0,2.0,-12.0,7.0,71.0,0.0,10.0,5.0,18.0,2018.0,1.0,1,3.0,-8.0
-0.0,-8.0,2.0,-12.0,7.0,71.0,0.0,10.0,5.0,18.0,2018.0,1.0,1,4.0,-7.0
-0.0,-8.0,2.0,-12.0,6.0,70.0,0.0,10.0,4.0,18.0,2018.0,1.0,1,5.0,-7.0
-0.0,-8.0,2.0,-11.0,6.0,70.0,0.0,10.0,3.0,18.0,2018.0,1.0,1,6.0,-7.0
-0.0,-8.0,2.0,-11.0,7.0,68.0,0.0,10.0,3.0,18.0,2018.0,1.0,1,7.0,-6.0
-0.0,-8.0,2.0,-12.0,9.0,65.0,0.0,10.0,2.0,18.0,2018.0,1.0,1,8.0,-6.0
-0.0,-8.0,2.0,-12.0,11.0,63.0,0.0,10.0,2.0,18.0,2018.0,1.0,1,9.0,-6.0
-0.0,-8.0,2.0,-13.0,12.0,55.0,0.0,10.0,2.0,18.0,2018.0,1.0,1,10.0,-5.0
-0.0,-8.0,2.0,-14.0,13.0,46.0,0.0,10.0,3.0,18.0,2018.0,1.0,1,11.0,-4.0
-0.0,-8.0,2.0,-15.0,15.0,38.0,0.0,10.0,4.0,18.0,2018.0,1.0,1,12.0,-3.0
-0.0,-8.0,2.0,-15.0,17.0,36.0,0.0,10.0,6.0,18.0,2018.0,1.0,1,13.0,-2.0
-0.0,-8.0,2.0,-15.0,18.0,35.0,0.0,10.0,8.0,18.0,2018.0,1.0,1,14.0,-1.0
-0.0,-8.0,2.0,-14.0,20.0,33.0,0.0,10.0,10.0,18.0,2018.0,1.0,1,15.0,-0.0
-0.0,-8.0,2.0,-14.0,23.0,40.0,0.0,10.0,7.0,18.0,2018.0,1.0,1,16.0,-2.0
-0.0,-8.0,2.0,-14.0,26.0,47.0,0.0,10.0,5.0,18.0,2018.0,1.0,1,17.0,-4.0
-0.0,-8.0,2.0,-14.0,28.0,55.0,0.0,10.0,2.0,18.0,2018.0,1.0,1,18.0,-7.0
-0.0,-8.0,2.0,-14.0,21.0,59.0,0.0,10.0,4.0,18.0,2018.0,1.0,1,19.0,-7.0
-0.0,-8.0,2.0,-13.0,13.0,64.0,0.0,10.0,6.0,18.0,2018.0,1.0,1,20.0,-7.0
-0.0,-8.0,2.0,-13.0,5.0,69.0,0.0,10.0,9.0,18.0,2018.0,1.0,1,21.0,-8.0
-0.0,-8.0,2.0,-12.0,5.0,70.0,0.0,10.0,6.0,18.0,2018.0,1.0,1,22.0,-7.0
-0.0,-8.0,2.0,-11.0,5.0,71.0,0.0,10.0,4.0,18.0,2018.0,1.0,1,23.0,-6.0
7.0,-1.0,2.0,-15.0,12.0,32.0,0.0,10.0,6.0,18.0,2018.0,1.0,4,0.0,-0.0
7.0,-1.0,2.0,-15.0,13.0,31.0,0.0,10.0,6.0,18.0,2018.0,1.0,4,1.0,-0.0
7.0,-1.0,2.0,-16.0,13.0,31.0,0.0,10.0,5.0,18.0,2018.0,1.0,4,2.0,-1.0
7.0,-1.0,2.0,-16.0,14.0,31.0,0.0,10.0,4.0,18.0,2018.0,1.0,4,3.0,-1.0
7.0,-1.0,2.0,-16.0,10.0,30.0,0.0,10.0,4.0,18.0,2018.0,1.0,4,4.0,-1.0
7.0,-1.0,2.0,-16.0,7.0,30.0,0.0,10.0,4.0,18.0,2018.0,1.0,4,5.0,-1.0
7.0,-1.0,2.0,-16.0,3.0,30.0,0.0,10.0,4.0,18.0,2018.0,1.0,4,6.0,-1.0
7.0,-1.0,2.0,-16.0,2.0,30.0,0.0,10.0,5.0,18.0,2018.0,1.0,4,7.0,-0.0
7.0,-1.0,2.0,-16.0,1.0,29.0,0.0,10.0,6.0,18.0,2018.0,1.0,4,8.0,0.0
7.0,-1.0,2.0,-15.0,0.0,29.0,0.0,10.0,7.0,18.0,2018.0,1.0,4,9.0,1.0
7.0,-1.0,2.0,-16.0,0.0,25.0,0.0,10.0,7.0,18.0,2018.0,1.0,4,10.0,2.0
7.0,-1.0,2.0,-17.0,0.0,21.0,0.0,10.0,7.0,18.0,2018.0,1.0,4,11.0,4.0
7.0,-1.0,2.0,-18.0,0.0,17.0,0.0,10.0,7.0,18.0,2018.0,1.0,4,12.0,5.0
7.0,-1.0,2.0,-17.0,0.0,18.0,0.0,10.0,8.0,18.0,2018.0,1.0,4,13.0,6.0
7.0,-1.0,2.0,-16.0,0.0,19.0,0.0,10.0,9.0,18.0,2018.0,1.0,4,14.0,7.0
7.0,-1.0,2.0,-15.0,0.0,20.0,0.0,10.0,10.0,18.0,2018.0,1.0,4,15.0,7.0
7.0,-1.0,2.0,-13.0,0.0,27.0,0.0,10.0,9.0,18.0,2018.0,1.0,4,16.0,5.0
7.0,-1.0,2.0,-11.0,0.0,35.0,0.0,10.0,7.0,18.0,2018.0,1.0,4,17.0,3.0
7.0,-1.0,2.0,-10.0,0.0,43.0,0.0,10.0,5.0,18.0,2018.0,1.0,4,18.0,1.0
7.0,-1.0,2.0,-10.0,0.0,44.0,0.0,10.0,5.0,18.0,2018.0,1.0,4,19.0,1.0
