maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
8.0,-1.0,2.0,-7.0,31.0,39.0,0.0,10.0,20.0,21.0,2018.0,1.0,1,0.0,6.0
8.0,-1.0,2.0,-8.0,27.0,39.0,0.0,10.0,20.0,21.0,2018.0,1.0,1,1.0,5.0
8.0,-1.0,2.0,-9.0,24.0,40.0,0.0,10.0,20.0,21.0,2018.0,1.0,1,2.0,4.0
8.0,-1.0,2.0,-9.0,20.0,40.0,0.0,10.0,20.0,21.0,2018.0,1.0,1,3.0,3.0
8.0,-1.0,2.0,-10.0,15.0,40.0,0.0,10.0,18.0,21.0,2018.0,1.0,1,4.0,2.0
8.0,-1.0,2.0,-10.0,11.0,40.0,0.0,10.0,17.0,21.0,2018.0,1.0,1,5.0,2.0
8.0,-1.0,2.0,-11.0,6.0,41.0,0.0,10.0,15.0,21.0,2018.0,1.0,1,6.0,1.0
8.0,-1.0,2.0,-11.0,5.0,41.0,0.0,10.0,16.0,21.0,2018.0,1.0,1,7.0,1.0
8.0,-1.0,2.0,-11.0,5.0,42.0,0.0,10.0,17.0,21.0,2018.0,1.0,1,8.0,0.0
8.0,-1.0,2.0,-12.0,4.0,42.0,0.0,10.0,18.0,21.0,2018.0,1.0,1,9.0,-1.0
8.0,-1.0,2.0,-11.0,4.0,39.0,0.0,10.0,16.0,21.0,2018.0,1.0,1,10.0,1.0
8.0,-1.0,2.0,-10.0,3.0,36.0,0.0,10.0,14.0,21.0,2018.0,1.0,1,11.0,3.0
8.0,-1.0,2.0,-10.0,3.0,33.0,0.0,10.0,13.0,21.0,2018.0,1.0,1,12.0,5.0
8.0,-1.0,2.0,-11.0,3.0,28.0,0.0,10.0,13.0,21.0,2018.0,1.0,1,13.0,6.0
8.0,-1.0,2.0,-13.0,3.0,24.0,0.0,10.0,14.0,21.0,2018.0,1.0,1,14.0,7.0
8.0,-1.0,2.0,-15.0,4.0,19.0,0.0,10.0,14.0,21.0,2018.0,1.0,1,15.0,7.0
8.0,-1.0,2.0,-14.0,4.0,20.0,0.0,10.0,12.0,21.0,2018.0,1.0,1,16.0,8.0
8.0,-1.0,2.0,-13.0,3.0,21.0,0.0,10.0,9.0,21.0,2018.0,1.0,1,17.0,8.0
8.0,-1.0,2.0,-13.0,3.0,22.0,0.0,10.0,6.0,21.0,2018.0,1.0,1,18.0,8.0
8.0,-1.0,2.0,-12.0,3.0,24.0,0.0,10.0,8.0,21.0,2018.0,1.0,1,19.0,7.0
8.0,-1.0,2.0,-12.0,3.0,26.0,0.0,10.0,9.0,21.0,2018.0,1.0,1,20.0,6.0
8.0,-1.0,2.0,-12.0,3.0,28.0,0.0,10.0,10.0,21.0,2018.0,1.0,1,21.0,5.0
8.0,-1.0,2.0,-11.0,3.0,29.0,0.0,10.0,10.0,21.0,2018.0,1.0,1,22.0,5.0
8.0,-1.0,2.0,-11.0,3.0,29.0,0.0,10.0,9.0,21.0,2018.0,1.0,1,23.0,5.0
11.0,3.0,3.0,-11.0,3.0,30.0,0.0,10.0,9.0,21.0,2018.0,1.0,2,0.0,5.0
11.0,3.0,3.0,-11.0,3.0,32.0,0.0,10.0,8.0,21.0,2018.0,1.0,2,1.0,5.0
11.0,3.0,3.0,-10.0,3.0,33.0,0.0,10.0,6.0,21.0,2018.0,1.0,2,2.0,5.0
11.0,3.0,3.0,-9.0,4.0,35.0,0.0,10.0,5.0,21.0,2018.0,1.0,2,3.0,5.0
11.0,3.0,3.0,-9.0,9.0,36.0,0.0,10.0,6.0,21.0,2018.0,1.0,2,4.0,4.0
11.0,3.0,3.0,-9.0,15.0,38.0,0.0,10.0,7.0,21.0,2018.0,1.0,2,5.0,4.0
11.0,3.0,3.0,-9.0,21.0,40.0,0.0,10.0,8.0,21.0,2018.0,1.0,2,6.0,4.0
11.0,3.0,3.0,-9.0,39.0,38.0,0.0,10.0,6.0,21.0,2018.0,1.0,2,7.0,4.0
11.0,3.0,3.0,-10.0,57.0,37.0,0.0,10.0,5.0,21.0,2018.0,1.0,2,8.0,3.0
11.0,3.0,3.0,-11.0,74.0,35.0,0.0,10.0,3.0,21.0,2018.0,1.0,2,9.0,3.0
11.0,3.0,3.0,-10.0,78.0,33.0,0.0,10.0,3.0,21.0,2018.0,1.0,2,10.0,5.0
11.0,3.0,3.0,-10.0,81.0,30.0,0.0,10.0,3.0,21.0,2018.0,1.0,2,11.0,7.0
11.0,3.0,3.0,-10.0,85.0,27.0,0.0,10.0,3.0,21.0,2018.0,1.0,2,12.0,8.0
11.0,3.0,3.0,-11.0,68.0,24.0,0.0,10.0,3.0,21.0,2018.0,1.0,2,13.0,9.0
11.0,3.0,3.0,-12.0,50.0,20.0,0.0,10.0,3.0,21.0,2018.0,1.0,2,14.0,10.0
11.0,3.0,3.0,-13.0,33.0,17.0,0.0,10.0,4.0,21.0,2018.0,1.0,2,15.0,11.0
11.0,3.0,3.0,-13.0,24.0,18.0,0.0,10.0,6.0,21.0,2018.0,1.0,2,16.0,11.0
11.0,3.0,3.0,-12.0,15.0,19.0,0.0,10.0,9.0,21.0,2018.0,1.0,2,17.0,10.0
11.0,3.0,3.0,-12.0,6.0,20.0,0.0,10.0,11.0,21.0,2018.0,1.0,2,18.0,10.0
11.0,3.0,3.0,-13.0,4.0,21.0,0.0,10.0,13.0,21.0,2018.0,1.0,2,19.0,9.0
