maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
14.0,4.0,4.0,-11.0,2.0,23.0,0.0,10.0,1.0,56.0,2018.0,1.0,1,0.0,9.0
14.0,4.0,4.0,-11.0,2.0,23.0,0.0,10.0,1.0,56.0,2018.0,1.0,1,1.0,9.0
14.0,4.0,4.0,-11.0,3.0,24.0,0.0,10.0,1.0,56.0,2018.0,1.0,1,2.0,8.0
14.0,4.0,4.0,-11.0,3.0,24.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,3.0,8.0
14.0,4.0,4.0,-11.0,3.0,28.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,4.0,7.0
14.0,4.0,4.0,-10.0,3.0,32.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,5.0,5.0
14.0,4.0,4.0,-10.0,3.0,36.0,0.0,10.0,1.0,56.0,2018.0,1.0,1,6.0,4.0
14.0,4.0,4.0,-9.0,3.0,33.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,7.0,6.0
14.0,4.0,4.0,-8.0,3.0,29.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,8.0,9.0
14.0,4.0,4.0,-8.0,3.0,26.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,9.0,11.0
14.0,4.0,4.0,-9.0,3.0,23.0,0.0,10.0,4.0,56.0,2018.0,1.0,1,10.0,12.0
14.0,4.0,4.0,-9.0,4.0,21.0,0.0,10.0,4.0,56.0,2018.0,1.0,1,11.0,13.0
14.0,4.0,4.0,-10.0,4.0,18.0,0.0,10.0,5.0,56.0,2018.0,1.0,1,12.0,14.0
14.0,4.0,4.0,-9.0,3.0,19.0,0.0,10.0,4.0,56.0,2018.0,1.0,1,13.0,14.0
14.0,4.0,4.0,-9.0,1.0,20.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,14.0,14.0
14.0,4.0,4.0,-9.0,0.0,21.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,15.0,13.0
14.0,4.0,4.0,-9.0,1.0,22.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,16.0,13.0
14.0,4.0,4.0,-9.0,3.0,23.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,17.0,12.0
14.0,4.0,4.0,-9.0,4.0,24.0,0.0,10.0,1.0,56.0,2018.0,1.0,1,18.0,11.0
14.0,4.0,4.0,-9.0,16.0,25.0,0.0,10.0,2.0,56.0,2018.0,1.0,1,19.0,11.0
14.0,4.0,4.0,-8.0,28.0,25.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,20.0,11.0
14.0,4.0,4.0,-8.0,40.0,26.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,21.0,11.0
14.0,4.0,4.0,-8.0,27.0,26.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,22.0,11.0
14.0,4.0,4.0,-8.0,15.0,26.0,0.0,10.0,3.0,56.0,2018.0,1.0,1,23.0,10.0
16.0,6.0,4.0,-9.0,3.0,26.0,0.0,10.0,3.0,56.0,2018.0,1.0,2,0.0,10.0
16.0,6.0,4.0,-9.0,5.0,27.0,0.0,10.0,3.0,56.0,2018.0,1.0,2,1.0,10.0
16.0,6.0,4.0,-9.0,7.0,27.0,0.0,10.0,3.0,56.0,2018.0,1.0,2,2.0,9.0
16.0,6.0,4.0,-9.0,9.0,28.0,0.0,10.0,3.0,56.0,2018.0,1.0,2,3.0,9.0
16.0,6.0,4.0,-9.0,12.0,29.0,0.0,10.0,3.0,56.0,2018.0,1.0,2,4.0,8.0
16.0,6.0,4.0,-9.0,15.0,31.0,0.0,10.0,4.0,56.0,2018.0,1.0,2,5.0,7.0
16.0,6.0,4.0,-9.0,18.0,33.0,0.0,10.0,5.0,56.0,2018.0,1.0,2,6.0,6.0
16.0,6.0,4.0,-8.0,32.0,31.0,0.0,10.0,6.0,56.0,2018.0,1.0,2,7.0,8.0
16.0,6.0,4.0,-7.0,45.0,28.0,0.0,10.0,6.0,56.0,2018.0,1.0,2,8.0,10.0
16.0,6.0,4.0,-7.0,58.0,26.0,0.0,10.0,6.0,56.0,2018.0,1.0,2,9.0,13.0
16.0,6.0,4.0,-7.0,72.0,23.0,0.0,10.0,10.0,56.0,2018.0,1.0,2,10.0,14.0
16.0,6.0,4.0,-8.0,85.0,20.0,0.0,10.0,14.0,56.0,2018.0,1.0,2,11.0,15.0
16.0,6.0,4.0,-9.0,99.0,18.0,0.0,10.0,17.0,56.0,2018.0,1.0,2,12.0,16.0
16.0,6.0,4.0,-9.0,99.0,17.0,0.0,10.0,12.0,56.0,2018.0,1.0,2,13.0,15.0
16.0,6.0,4.0,-10.0,99.0,17.0,0.0,10.0,7.0,56.0,2018.0,1.0,2,14.0,15.0
16.0,6.0,4.0,-10.0,100.0,17.0,0.0,10.0,2.0,56.0,2018.0,1.0,2,15.0,15.0
16.0,6.0,4.0,-10.0,100.0,18.0,0.0,10.0,3.0,56.0,2018.0,1.0,2,16.0,14.0
16.0,6.0,4.0,-9.0,100.0,20.0,0.0,10.0,5.0,56.0,2018.0,1.0,2,17.0,13.0
16.0,6.0,4.0,-9.0,100.0,22.0,0.0,10.0,6.0,56.0,2018.0,1.0,2,18.0,13.0
16.0,6.0,4.0,-8.0,100.0,22.0,0.0,10.0,7.0,56.0,2018.0,1.0,2,19.0,13.0
16.0,6.0,4.0,-8.0,100.0,23.0,0.0,10.0,8.0,56.0,2018.0,1.0,2,20.0,12.0
16.0,6.0,4.0,-8.0,100.0,23.0,0.0,10.0,9.0,56.0,2018.0,1.0,2,21.0,12.0
16.0,6.0,4.0,-8.0,100.0,24.0,0.0,10.0,8.0,56.0,2018.0,1.0,2,22.0,12.0
16.0,6.0,4.0,-8.0,100.0,25.0,0.0,10.0,7.0,56.0,2018.0,1.0,2,23.0,11.0
13.0,5.0,3.0,-8.0,100.0,26.0,0.0,10.0,6.0,56.0,2018.0,1.0,3,0.0,10.0
13.0,5.0,3.0,-9.0,67.0,27.0,0.0,10.0,5.0,56.0,2018.0,1.0,3,1.0,10.0
13.0,5.0,3.0,-9.0,35.0,27.0,0.0,10.0,5.0,56.0,2018.0,1.0,3,2.0,9.0
13.0,5.0,3.0,-9.0,3.0,27.0,0.0,10.0,4.0,56.0,2018.0,1.0,3,3.0,8.0
13.0,5.0,3.0,-10.0,4.0,28.0,0.0,10.0,3.0,56.0,2018.0,1.0,3,4.0,7.0
13.0,5.0,3.0,-11.0,5.0,28.0,0.0,10.0,3.0,56.0,2018.0,1.0,3,5.0,6.0
13.0,5.0,3.0,-12.0,6.0,28.0,0.0,10.0,3.0,56.0,2018.0,1.0,3,6.0,5.0
13.0,5.0,3.0,-13.0,9.0,24.0,0.0,10.0,4.0,56.0,2018.0,1.0,3,7.0,6.0
13.0,5.0,3.0,-13.0,11.0,20.0,0.0,10.0,5.0,56.0,2018.0,1.0,3,8.0,8.0
