maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
20.0,15.0,5.0,15.0,2.0,73.0,0.0,10.0,4.0,42.0,2018.0,1.0,1,0.0,20.0
20.0,15.0,5.0,13.0,4.0,72.0,0.0,10.0,4.0,42.0,2018.0,1.0,1,1.0,19.0
20.0,15.0,5.0,12.0,6.0,71.0,0.0,10.0,3.0,42.0,2018.0,1.0,1,2.0,17.0
20.0,15.0,5.0,11.0,8.0,70.0,0.0,10.0,2.0,42.0,2018.0,1.0,1,3.0,16.0
20.0,15.0,5.0,10.0,9.0,68.0,0.0,10.0,2.0,42.0,2018.0,1.0,1,4.0,16.0
20.0,15.0,5.0,10.0,10.0,67.0,0.0,10.0,2.0,42.0,2018.0,1.0,1,5.0,16.0
20.0,15.0,5.0,9.0,12.0,66.0,0.0,10.0,2.0,42.0,2018.0,1.0,1,6.0,15.0
20.0,15.0,5.0,9.0,15.0,62.0,0.0,10.0,2.0,42.0,2018.0,1.0,1,7.0,16.0
20.0,15.0,5.0,9.0,18.0,58.0,0.0,10.0,1.0,42.0,2018.0,1.0,1,8.0,18.0
20.0,15.0,5.0,9.0,21.0,53.0,0.0,10.0,1.0,42.0,2018.0,1.0,1,9.0,19.0
20.0,15.0,5.0,9.0,25.0,52.0,0.0,10.0,3.0,42.0,2018.0,1.0,1,10.0,19.0
20.0,15.0,5.0,9.0,28.0,50.0,0.0,10.0,5.0,42.0,2018.0,1.0,1,11.0,20.0
20.0,15.0,5.0,9.0,32.0,49.0,0.0,10.0,6.0,42.0,2018.0,1.0,1,12.0,20.0
20.0,15.0,5.0,9.0,32.0,50.0,0.0,10.0,7.0,42.0,2018.0,1.0,1,13.0,20.0
20.0,15.0,5.0,9.0,32.0,52.0,0.0,10.0,8.0,42.0,2018.0,1.0,1,14.0,19.0
20.0,15.0,5.0,10.0,32.0,54.0,0.0,10.0,9.0,42.0,2018.0,1.0,1,15.0,19.0
20.0,15.0,5.0,10.0,23.0,58.0,0.0,10.0,9.0,42.0,2018.0,1.0,1,16.0,19.0
20.0,15.0,5.0,11.0,14.0,62.0,0.0,10.0,8.0,42.0,2018.0,1.0,1,17.0,19.0
20.0,15.0,5.0,12.0,5.0,66.0,0.0,10.0,7.0,42.0,2018.0,1.0,1,18.0,18.0
20.0,15.0,5.0,11.0,7.0,64.0,0.0,10.0,6.0,42.0,2018.0,1.0,1,19.0,18.0
20.0,15.0,5.0,11.0,8.0,62.0,0.0,10.0,5.0,42.0,2018.0,1.0,1,20.0,18.0
20.0,15.0,5.0,10.0,10.0,61.0,0.0,10.0,4.0,42.0,2018.0,1.0,1,21.0,18.0
20.0,15.0,5.0,10.0,15.0,62.0,0.0,10.0,5.0,42.0,2018.0,1.0,1,22.0,17.0
20.0,15.0,5.0,10.0,20.0,63.0,0.0,10.0,6.0,42.0,2018.0,1.0,1,23.0,17.0
23.0,16.0,6.0,10.0,25.0,64.0,0.0,10.0,6.0,42.0,2018.0,1.0,2,0.0,17.0
23.0,16.0,6.0,9.0,33.0,62.0,0.0,10.0,5.0,42.0,2018.0,1.0,2,1.0,17.0
23.0,16.0,6.0,9.0,41.0,61.0,0.0,10.0,4.0,42.0,2018.0,1.0,2,2.0,17.0
23.0,16.0,6.0,9.0,49.0,59.0,0.0,10.0,2.0,42.0,2018.0,1.0,2,3.0,17.0
23.0,16.0,6.0,9.0,48.0,59.0,0.0,10.0,3.0,42.0,2018.0,1.0,2,4.0,16.0
23.0,16.0,6.0,8.0,47.0,60.0,0.0,10.0,3.0,42.0,2018.0,1.0,2,5.0,16.0
23.0,16.0,6.0,8.0,47.0,60.0,0.0,10.0,4.0,42.0,2018.0,1.0,2,6.0,16.0
23.0,16.0,6.0,8.0,47.0,56.0,0.0,10.0,4.0,42.0,2018.0,1.0,2,7.0,17.0
23.0,16.0,6.0,8.0,47.0,51.0,0.0,10.0,5.0,42.0,2018.0,1.0,2,8.0,18.0
23.0,16.0,6.0,8.0,48.0,47.0,0.0,10.0,6.0,42.0,2018.0,1.0,2,9.0,20.0
23.0,16.0,6.0,8.0,38.0,44.0,0.0,10.0,6.0,42.0,2018.0,1.0,2,10.0,21.0
23.0,16.0,6.0,8.0,29.0,41.0,0.0,10.0,6.0,42.0,2018.0,1.0,2,11.0,22.0
23.0,16.0,6.0,8.0,20.0,37.0,0.0,10.0,6.0,42.0,2018.0,1.0,2,12.0,23.0
23.0,16.0,6.0,8.0,17.0,38.0,0.0,10.0,7.0,42.0,2018.0,1.0,2,13.0,23.0
23.0,16.0,6.0,8.0,13.0,40.0,0.0,10.0,8.0,42.0,2018.0,1.0,2,14.0,23.0
23.0,16.0,6.0,8.0,10.0,41.0,0.0,10.0,9.0,42.0,2018.0,1.0,2,15.0,22.0
23.0,16.0,6.0,9.0,9.0,44.0,0.0,10.0,9.0,42.0,2018.0,1.0,2,16.0,22.0
23.0,16.0,6.0,9.0,7.0,47.0,0.0,10.0,9.0,42.0,2018.0,1.0,2,17.0,21.0
23.0,16.0,6.0,10.0,6.0,50.0,0.0,10.0,9.0,42.0,2018.0,1.0,2,18.0,21.0
23.0,16.0,6.0,9.0,6.0,48.0,0.0,10.0,8.0,42.0,2018.0,1.0,2,19.0,21.0
23.0,16.0,6.0,9.0,7.0,46.0,0.0,10.0,7.0,42.0,2018.0,1.0,2,20.0,21.0
23.0,16.0,6.0,8.0,8.0,44.0,0.0,10.0,7.0,42.0,2018.0,1.0,2,21.0,21.0
23.0,16.0,6.0,7.0,8.0,41.0,0.0,10.0,5.0,42.0,2018.0,1.0,2,22.0,21.0
23.0,16.0,6.0,6.0,8.0,38.0,0.0,10.0,3.0,42.0,2018.0,1.0,2,23.0,21.0
22.0,19.0,6.0,5.0,9.0,35.0,0.0,10.0,2.0,42.0,2018.0,1.0,3,0.0,21.0
22.0,19.0,6.0,5.0,13.0,36.0,0.0,10.0,4.0,42.0,2018.0,1.0,3,1.0,20.0
22.0,19.0,6.0,5.0,18.0,38.0,0.0,10.0,6.0,42.0,2018.0,1.0,3,2.0,20.0
22.0,19.0,6.0,5.0,22.0,39.0,0.0,10.0,9.0,42.0,2018.0,1.0,3,3.0,19.0
22.0,19.0,6.0,4.0,24.0,38.0,0.0,10.0,7.0,42.0,2018.0,1.0,3,4.0,19.0
22.0,19.0,6.0,4.0,26.0,37.0,0.0,10.0,6.0,42.0,2018.0,1.0,3,5.0,19.0
22.0,19.0,6.0,3.0,28.0,36.0,0.0,10.0,5.0,42.0,2018.0,1.0,3,6.0,19.0
22.0,19.0,6.0,4.0,30.0,36.0,0.0,10.0,4.0,42.0,2018.0,1.0,3,7.0,20.0
22.0,19.0,6.0,5.0,33.0,37.0,0.0,10.0,4.0,42.0,2018.0,1.0,3,8.0,20.0
22.0,19.0,6.0,6.0,35.0,38.0,0.0,10.0,3.0,42.0,2018.0,1.0,3,9.0,21.0
22.0,19.0,6.0,6.0,35.0,37.0,0.0,10.0,4.0,42.0,2018.0,1.0,3,10.0,21.0
