maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
24.0,14.0,5.0,-9.0,17.0,17.0,0.0,10.0,13.0,35.0,2018.0,1.0,3,0.0,15.0
24.0,14.0,5.0,-10.0,18.0,17.0,0.0,10.0,13.0,35.0,2018.0,1.0,3,1.0,15.0
24.0,14.0,5.0,-11.0,19.0,16.0,0.0,10.0,13.0,35.0,2018.0,1.0,3,2.0,14.0
24.0,14.0,5.0,-12.0,21.0,15.0,0.0,10.0,13.0,35.0,2018.0,1.0,3,3.0,14.0
24.0,14.0,5.0,-12.0,15.0,16.0,0.0,10.0,14.0,35.0,2018.0,1.0,3,4.0,14.0
24.0,14.0,5.0,-12.0,9.0,16.0,0.0,10.0,16.0,35.0,2018.0,1.0,3,5.0,14.0
24.0,14.0,5.0,-12.0,3.0,16.0,0.0,10.0,17.0,35.0,2018.0,1.0,3,6.0,14.0
24.0,14.0,5.0,-11.0,3.0,17.0,0.0,10.0,16.0,35.0,2018.0,1.0,3,7.0,14.0
24.0,14.0,5.0,-11.0,3.0,17.0,0.0,10.0,14.0,35.0,2018.0,1.0,3,8.0,14.0
24.0,14.0,5.0,-10.0,4.0,18.0,0.0,10.0,12.0,35.0,2018.0,1.0,3,9.0,14.0
24.0,14.0,5.0,-10.0,4.0,16.0,0.0,10.0,15.0,35.0,2018.0,1.0,3,10.0,16.0
24.0,14.0,5.0,-10.0,5.0,14.0,0.0,10.0,18.0,35.0,2018.0,1.0,3,11.0,18.0
24.0,14.0,5.0,-10.0,6.0,12.0,0.0,10.0,20.0,35.0,2018.0,1.0,3,12.0,20.0
24.0,14.0,5.0,-11.0,8.0,11.0,0.0,10.0,19.0,35.0,2018.0,1.0,3,13.0,21.0
24.0,14.0,5.0,-11.0,11.0,10.0,0.0,10.0,18.0,35.0,2018.0,1.0,3,14.0,23.0
24.0,14.0,5.0,-12.0,14.0,9.0,0.0,10.0,16.0,35.0,2018.0,1.0,3,15.0,24.0
24.0,14.0,5.0,-11.0,20.0,9.0,0.0,10.0,15.0,35.0,2018.0,1.0,3,16.0,23.0
24.0,14.0,5.0,-11.0,26.0,10.0,0.0,10.0,14.0,35.0,2018.0,1.0,3,17.0,23.0
24.0,14.0,5.0,-11.0,33.0,10.0,0.0,10.0,12.0,35.0,2018.0,1.0,3,18.0,22.0
24.0,14.0,5.0,-11.0,38.0,10.0,0.0,10.0,11.0,35.0,2018.0,1.0,3,19.0,21.0
24.0,14.0,5.0,-11.0,43.0,11.0,0.0,10.0,10.0,35.0,2018.0,1.0,3,20.0,20.0
24.0,14.0,5.0,-11.0,48.0,11.0,0.0,10.0,8.0,35.0,2018.0,1.0,3,21.0,20.0
24.0,14.0,5.0,-12.0,59.0,11.0,0.0,10.0,9.0,35.0,2018.0,1.0,3,22.0,19.0
24.0,14.0,5.0,-12.0,71.0,11.0,0.0,10.0,10.0,35.0,2018.0,1.0,3,23.0,19.0
26.0,16.0,5.0,-12.0,82.0,11.0,0.0,10.0,11.0,35.0,2018.0,1.0,4,0.0,19.0
26.0,16.0,5.0,-12.0,82.0,11.0,0.0,10.0,10.0,35.0,2018.0,1.0,4,1.0,18.0
26.0,16.0,5.0,-13.0,82.0,11.0,0.0,10.0,9.0,35.0,2018.0,1.0,4,2.0,18.0
26.0,16.0,5.0,-14.0,81.0,10.0,0.0,10.0,8.0,35.0,2018.0,1.0,4,3.0,18.0
26.0,16.0,5.0,-14.0,70.0,10.0,0.0,10.0,10.0,35.0,2018.0,1.0,4,4.0,18.0
26.0,16.0,5.0,-14.0,59.0,11.0,0.0,10.0,12.0,35.0,2018.0,1.0,4,5.0,18.0
26.0,16.0,5.0,-14.0,48.0,11.0,0.0,10.0,14.0,35.0,2018.0,1.0,4,6.0,17.0
26.0,16.0,5.0,-13.0,36.0,11.0,0.0,10.0,12.0,35.0,2018.0,1.0,4,7.0,17.0
26.0,16.0,5.0,-13.0,25.0,12.0,0.0,10.0,10.0,35.0,2018.0,1.0,4,8.0,16.0
26.0,16.0,5.0,-13.0,14.0,13.0,0.0,10.0,8.0,35.0,2018.0,1.0,4,9.0,16.0
26.0,16.0,5.0,-11.0,11.0,12.0,0.0,10.0,9.0,35.0,2018.0,1.0,4,10.0,18.0
26.0,16.0,5.0,-10.0,9.0,12.0,0.0,10.0,9.0,35.0,2018.0,1.0,4,11.0,20.0
26.0,16.0,5.0,-9.0,6.0,12.0,0.0,10.0,10.0,35.0,2018.0,1.0,4,12.0,22.0
26.0,16.0,5.0,-6.0,4.0,14.0,0.0,10.0,8.0,35.0,2018.0,1.0,4,13.0,23.0
26.0,16.0,5.0,-3.0,2.0,16.0,0.0,10.0,7.0,35.0,2018.0,1.0,4,14.0,25.0
26.0,16.0,5.0,-0.0,0.0,17.0,0.0,10.0,5.0,35.0,2018.0,1.0,4,15.0,26.0
26.0,16.0,5.0,-0.0,1.0,18.0,0.0,10.0,5.0,35.0,2018.0,1.0,4,16.0,26.0
