maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
25.0,20.0,6.0,16.0,5.0,67.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,0.0,22.0
25.0,20.0,6.0,16.0,6.0,69.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,1.0,22.0
25.0,20.0,6.0,16.0,6.0,71.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,2.0,21.0
25.0,20.0,6.0,16.0,6.0,73.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,3.0,21.0
25.0,20.0,6.0,16.0,8.0,73.0,0.0,10.0,5.0,43.0,2018.0,1.0,1,4.0,21.0
25.0,20.0,6.0,16.0,10.0,74.0,0.0,10.0,5.0,43.0,2018.0,1.0,1,5.0,20.0
25.0,20.0,6.0,16.0,11.0,75.0,0.0,10.0,5.0,43.0,2018.0,1.0,1,6.0,20.0
25.0,20.0,6.0,15.0,10.0,71.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,7.0,21.0
25.0,20.0,6.0,15.0,10.0,68.0,0.0,10.0,8.0,43.0,2018.0,1.0,1,8.0,21.0
25.0,20.0,6.0,15.0,9.0,65.0,0.0,10.0,9.0,43.0,2018.0,1.0,1,9.0,22.0
25.0,20.0,6.0,15.0,8.0,61.0,0.0,10.0,9.0,43.0,2018.0,1.0,1,10.0,23.0
25.0,20.0,6.0,14.0,8.0,57.0,0.0,10.0,8.0,43.0,2018.0,1.0,1,11.0,23.0
25.0,20.0,6.0,14.0,7.0,52.0,0.0,10.0,8.0,43.0,2018.0,1.0,1,12.0,24.0
25.0,20.0,6.0,14.0,8.0,52.0,0.0,10.0,7.0,43.0,2018.0,1.0,1,13.0,24.0
25.0,20.0,6.0,14.0,10.0,52.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,14.0,25.0
25.0,20.0,6.0,14.0,12.0,51.0,0.0,10.0,5.0,43.0,2018.0,1.0,1,15.0,25.0
25.0,20.0,6.0,15.0,15.0,54.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,16.0,25.0
25.0,20.0,6.0,15.0,18.0,58.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,17.0,24.0
25.0,20.0,6.0,15.0,21.0,61.0,0.0,10.0,6.0,43.0,2018.0,1.0,1,18.0,23.0
25.0,20.0,6.0,16.0,24.0,67.0,0.0,10.0,12.0,43.0,2018.0,1.0,1,19.0,22.0
25.0,20.0,6.0,16.0,27.0,73.0,0.0,10.0,18.0,43.0,2018.0,1.0,1,20.0,21.0
25.0,20.0,6.0,17.0,31.0,78.0,0.0,10.0,23.0,43.0,2018.0,1.0,1,21.0,21.0
25.0,20.0,6.0,17.0,49.0,80.0,0.0,10.0,24.0,43.0,2018.0,1.0,1,22.0,20.0
25.0,20.0,6.0,17.0,68.0,82.0,0.0,10.0,24.0,43.0,2018.0,1.0,1,23.0,20.0
21.0,19.0,5.0,17.0,87.0,84.0,0.0,10.0,24.0,43.0,2018.0,1.0,2,0.0,20.0
21.0,19.0,5.0,16.0,82.0,84.0,0.0,10.0,24.0,43.0,2018.0,1.0,2,1.0,19.0
21.0,19.0,5.0,16.0,77.0,84.0,0.0,10.0,23.0,43.0,2018.0,1.0,2,2.0,19.0
21.0,19.0,5.0,16.0,72.0,84.0,0.0,10.0,22.0,43.0,2018.0,1.0,2,3.0,19.0
21.0,19.0,5.0,16.0,66.0,83.0,0.0,10.0,21.0,43.0,2018.0,1.0,2,4.0,19.0
21.0,19.0,5.0,17.0,60.0,82.0,0.0,10.0,19.0,43.0,2018.0,1.0,2,5.0,20.0
21.0,19.0,5.0,17.0,53.0,81.0,0.0,10.0,18.0,43.0,2018.0,1.0,2,6.0,21.0
