maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
-4.0,-6.0,1.0,-12.0,4.0,58.0,0.0,9.0,27.0,94.0,2018.0,1.0,1,0.0,-6.0
-4.0,-6.0,1.0,-12.0,3.0,58.0,0.0,8.0,28.0,94.0,2018.0,1.0,1,1.0,-6.0
-4.0,-6.0,1.0,-13.0,3.0,57.0,0.0,8.0,29.0,94.0,2018.0,1.0,1,2.0,-6.0
-4.0,-6.0,1.0,-13.0,2.0,57.0,0.0,7.0,30.0,94.0,2018.0,1.0,1,3.0,-6.0
-4.0,-6.0,1.0,-13.0,3.0,58.0,0.0,8.0,30.0,94.0,2018.0,1.0,1,4.0,-6.0
-4.0,-6.0,1.0,-13.0,3.0,58.0,0.0,8.0,29.0,94.0,2018.0,1.0,1,5.0,-6.0
-4.0,-6.0,1.0,-13.0,4.0,59.0,0.0,9.0,28.0,94.0,2018.0,1.0,1,6.0,-6.0
-4.0,-6.0,1.0,-13.0,4.0,57.0,0.0,8.0,29.0,94.0,2018.0,1.0,1,7.0,-6.0
-4.0,-6.0,1.0,-13.0,5.0,55.0,0.0,8.0,30.0,94.0,2018.0,1.0,1,8.0,-5.0
-4.0,-6.0,1.0,-13.0,5.0,53.0,0.0,7.0,30.0,94.0,2018.0,1.0,1,9.0,-5.0
-4.0,-6.0,1.0,-13.0,3.0,50.0,0.0,8.0,29.0,94.0,2018.0,1.0,1,10.0,-5.0
-4.0,-6.0,1.0,-14.0,2.0,47.0,0.0,8.0,27.0,94.0,2018.0,1.0,1,11.0,-4.0
-4.0,-6.0,1.0,-14.0,0.0,44.0,0.0,9.0,25.0,94.0,2018.0,1.0,1,12.0,-4.0
-4.0,-6.0,1.0,-15.0,0.0,42.0,0.0,9.0,25.0,94.0,2018.0,1.0,1,13.0,-4.0
-4.0,-6.0,1.0,-15.0,0.0,41.0,0.0,10.0,24.0,94.0,2018.0,1.0,1,14.0,-4.0
-4.0,-6.0,1.0,-15.0,0.0,40.0,0.0,10.0,24.0,94.0,2018.0,1.0,1,15.0,-4.0
-4.0,-6.0,1.0,-15.0,0.0,41.0,0.0,10.0,22.0,94.0,2018.0,1.0,1,16.0,-4.0
-4.0,-6.0,1.0,-15.0,0.0,41.0,0.0,10.0,19.0,94.0,2018.0,1.0,1,17.0,-4.0
-4.0,-6.0,1.0,-15.0,0.0,42.0,0.0,10.0,17.0,94.0,2018.0,1.0,1,18.0,-5.0
-4.0,-6.0,1.0,-15.0,0.0,42.0,0.0,10.0,18.0,94.0,2018.0,1.0,1,19.0,-5.0
-4.0,-6.0,1.0,-15.0,0.0,42.0,0.0,10.0,20.0,94.0,2018.0,1.0,1,20.0,-5.0
-4.0,-6.0,1.0,-16.0,0.0,42.0,0.0,10.0,21.0,94.0,2018.0,1.0,1,21.0,-5.0
-4.0,-6.0,1.0,-15.0,0.0,44.0,0.0,10.0,22.0,94.0,2018.0,1.0,1,22.0,-5.0
-4.0,-6.0,1.0,-15.0,0.0,47.0,0.0,10.0,24.0,94.0,2018.0,1.0,1,23.0,-5.0
2.0,-4.0,2.0,-13.0,0.0,39.0,0.0,10.0,5.0,94.0,2018.0,1.0,3,0.0,-1.0
2.0,-4.0,2.0,-14.0,3.0,39.0,0.0,10.0,4.0,94.0,2018.0,1.0,3,1.0,-2.0
2.0,-4.0,2.0,-14.0,6.0,40.0,0.0,10.0,3.0,94.0,2018.0,1.0,3,2.0,-3.0
2.0,-4.0,2.0,-15.0,10.0,40.0,0.0,10.0,2.0,94.0,2018.0,1.0,3,3.0,-4.0
2.0,-4.0,2.0,-15.0,14.0,42.0,0.0,10.0,3.0,94.0,2018.0,1.0,3,4.0,-4.0
2.0,-4.0,2.0,-14.0,19.0,43.0,0.0,10.0,5.0,94.0,2018.0,1.0,3,5.0,-4.0
