maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
-18.0,-28.0,2.0,-29.0,4.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,0.0,-27.0
-18.0,-28.0,2.0,-29.0,3.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,1.0,-28.0
-18.0,-28.0,2.0,-29.0,2.0,90.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,2.0,-28.0
-18.0,-28.0,2.0,-29.0,1.0,89.0,0.0,10.0,9.0,38.0,2018.0,1.0,1,3.0,-28.0
-18.0,-28.0,2.0,-29.0,1.0,89.0,0.0,10.0,8.0,38.0,2018.0,1.0,1,4.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,89.0,0.0,10.0,8.0,38.0,2018.0,1.0,1,5.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,89.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,6.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,89.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,7.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,88.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,8.0,-28.0
-18.0,-28.0,2.0,-29.0,0.0,87.0,0.0,10.0,7.0,38.0,2018.0,1.0,1,9.0,-27.0
-18.0,-28.0,2.0,-28.0,0.0,83.0,0.0,10.0,6.0,38.0,2018.0,1.0,1,10.0,-25.0
-18.0,-28.0,2.0,-26.0,0.0,79.0,0.0,10.0,6.0,38.0,2018.0,1.0,1,11.0,-24.0
-18.0,-28.0,2.0,-25.0,0.0,75.0,0.0,10.0,5.0,38.0,2018.0,1.0,1,12.0,-22.0
-18.0,-28.0,2.0,-24.0,0.0,74.0,0.0,10.0,5.0,38.0,2018.0,1.0,1,13.0,-20.0
-18.0,-28.0,2.0,-23.0,0.0,73.0,0.0,10.0,4.0,38.0,2018.0,1.0,1,14.0,-19.0
-18.0,-28.0,2.0,-22.0,0.0,72.0,0.0,10.0,4.0,38.0,2018.0,1.0,1,15.0,-18.0
-18.0,-28.0,2.0,-23.0,0.0,77.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,16.0,-20.0
-18.0,-28.0,2.0,-23.0,0.0,81.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,17.0,-21.0
-18.0,-28.0,2.0,-24.0,0.0,85.0,0.0,10.0,2.0,38.0,2018.0,1.0,1,18.0,-23.0
-18.0,-28.0,2.0,-24.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,19.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,20.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,21.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,86.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,22.0,-23.0
-18.0,-28.0,2.0,-25.0,0.0,87.0,0.0,10.0,3.0,38.0,2018.0,1.0,1,23.0,-23.0
-11.0,-17.0,2.0,-10.0,11.0,86.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,0.0,-8.0
-11.0,-17.0,2.0,-11.0,10.0,87.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,1.0,-9.0
-11.0,-17.0,2.0,-11.0,8.0,87.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,2.0,-10.0
-11.0,-17.0,2.0,-12.0,7.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,3.0,-10.0
-11.0,-17.0,2.0,-13.0,8.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,4.0,-11.0
-11.0,-17.0,2.0,-13.0,9.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,5.0,-12.0
-11.0,-17.0,2.0,-14.0,10.0,88.0,0.0,10.0,19.0,38.0,2018.0,1.0,3,6.0,-13.0
-11.0,-17.0,2.0,-15.0,10.0,88.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,7.0,-13.0
-11.0,-17.0,2.0,-15.0,11.0,89.0,0.0,10.0,18.0,38.0,2018.0,1.0,3,8.0,-14.0
-11.0,-17.0,2.0,-16.0,11.0,89.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,9.0,-14.0
-11.0,-17.0,2.0,-15.0,9.0,86.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,10.0,-13.0
-11.0,-17.0,2.0,-15.0,8.0,83.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,11.0,-12.0
-11.0,-17.0,2.0,-14.0,6.0,80.0,0.0,10.0,17.0,38.0,2018.0,1.0,3,12.0,-12.0
-11.0,-17.0,2.0,-14.0,10.0,80.0,0.0,10.0,16.0,38.0,2018.0,1.0,3,13.0,-11.0
-11.0,-17.0,2.0,-14.0,13.0,81.0,0.0,10.0,15.0,38.0,2018.0,1.0,3,14.0,-11.0
-11.0,-17.0,2.0,-13.0,17.0,81.0,0.0,10.0,15.0,38.0,2018.0,1.0,3,15.0,-11.0
-11.0,-17.0,2.0,-14.0,24.0,84.0,0.0,10.0,12.0,38.0,2018.0,1.0,3,16.0,-12.0
-11.0,-17.0,2.0,-15.0,31.0,87.0,0.0,10.0,10.0,38.0,2018.0,1.0,3,17.0,-14.0
-11.0,-17.0,2.0,-16.0,37.0,90.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,18.0,-15.0
-11.0,-17.0,2.0,-17.0,29.0,91.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,19.0,-16.0
-11.0,-17.0,2.0,-17.0,21.0,91.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,20.0,-16.0
-11.0,-17.0,2.0,-18.0,13.0,92.0,0.0,10.0,7.0,38.0,2018.0,1.0,3,21.0,-17.0
