maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
21.0,12.0,5.0,10.0,41.0,87.0,0.0,10.0,0.0,9.0,2018.0,1.0,1,0.0,12.0
21.0,12.0,5.0,10.0,30.0,87.0,0.0,10.0,1.0,9.0,2018.0,1.0,1,1.0,12.0
21.0,12.0,5.0,10.0,18.0,87.0,0.0,10.0,1.0,9.0,2018.0,1.0,1,2.0,12.0
21.0,12.0,5.0,10.0,7.0,86.0,0.0,10.0,1.0,9.0,2018.0,1.0,1,3.0,12.0
21.0,12.0,5.0,10.0,5.0,87.0,0.0,10.0,2.0,9.0,2018.0,1.0,1,4.0,12.0
21.0,12.0,5.0,11.0,3.0,87.0,0.0,10.0,2.0,9.0,2018.0,1.0,1,5.0,13.0
21.0,12.0,5.0,11.0,2.0,88.0,0.0,10.0,3.0,9.0,2018.0,1.0,1,6.0,13.0
21.0,12.0,5.0,11.0,1.0,82.0,0.0,10.0,2.0,9.0,2018.0,1.0,1,7.0,14.0
21.0,12.0,5.0,11.0,1.0,75.0,0.0,10.0,2.0,9.0,2018.0,1.0,1,8.0,15.0
21.0,12.0,5.0,11.0,0.0,69.0,0.0,10.0,1.0,9.0,2018.0,1.0,1,9.0,17.0
21.0,12.0,5.0,10.0,0.0,62.0,0.0,10.0,3.0,9.0,2018.0,1.0,1,10.0,18.0
21.0,12.0,5.0,10.0,0.0,55.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,11.0,20.0
21.0,12.0,5.0,10.0,0.0,48.0,0.0,10.0,6.0,9.0,2018.0,1.0,1,12.0,21.0
21.0,12.0,5.0,9.0,21.0,48.0,0.0,10.0,5.0,9.0,2018.0,1.0,1,13.0,20.0
21.0,12.0,5.0,8.0,42.0,49.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,14.0,19.0
21.0,12.0,5.0,8.0,63.0,49.0,0.0,10.0,3.0,9.0,2018.0,1.0,1,15.0,18.0
21.0,12.0,5.0,8.0,43.0,53.0,0.0,10.0,3.0,9.0,2018.0,1.0,1,16.0,17.0
21.0,12.0,5.0,8.0,24.0,56.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,17.0,16.0
21.0,12.0,5.0,8.0,5.0,60.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,18.0,15.0
21.0,12.0,5.0,7.0,5.0,59.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,19.0,15.0
21.0,12.0,5.0,6.0,6.0,58.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,20.0,15.0
21.0,12.0,5.0,6.0,6.0,57.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,21.0,14.0
21.0,12.0,5.0,6.0,7.0,57.0,0.0,10.0,4.0,9.0,2018.0,1.0,1,22.0,14.0
21.0,12.0,5.0,5.0,7.0,57.0,0.0,10.0,5.0,9.0,2018.0,1.0,1,23.0,14.0
19.0,13.0,5.0,5.0,8.0,58.0,0.0,10.0,5.0,9.0,2018.0,1.0,2,0.0,14.0
19.0,13.0,5.0,5.0,11.0,56.0,0.0,10.0,5.0,9.0,2018.0,1.0,2,1.0,13.0
19.0,13.0,5.0,4.0,15.0,55.0,0.0,10.0,5.0,9.0,2018.0,1.0,2,2.0,13.0
19.0,13.0,5.0,4.0,18.0,54.0,0.0,10.0,4.0,9.0,2018.0,1.0,2,3.0,13.0
19.0,13.0,5.0,3.0,19.0,52.0,0.0,10.0,4.0,9.0,2018.0,1.0,2,4.0,13.0
19.0,13.0,5.0,3.0,20.0,51.0,0.0,10.0,5.0,9.0,2018.0,1.0,2,5.0,13.0
19.0,13.0,5.0,3.0,21.0,50.0,0.0,10.0,5.0,9.0,2018.0,1.0,2,6.0,13.0
19.0,13.0,5.0,3.0,22.0,48.0,0.0,10.0,4.0,9.0,2018.0,1.0,2,7.0,14.0
19.0,13.0,5.0,4.0,22.0,46.0,0.0,10.0,3.0,9.0,2018.0,1.0,2,8.0,16.0
19.0,13.0,5.0,5.0,23.0,43.0,0.0,10.0,3.0,9.0,2018.0,1.0,2,9.0,17.0
19.0,13.0,5.0,5.0,31.0,42.0,0.0,10.0,3.0,9.0,2018.0,1.0,2,10.0,18.0
19.0,13.0,5.0,5.0,40.0,41.0,0.0,10.0,4.0,9.0,2018.0,1.0,2,11.0,19.0
19.0,13.0,5.0,5.0,49.0,40.0,0.0,10.0,4.0,9.0,2018.0,1.0,2,12.0,19.0
