maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
26.0,14.0,5.0,-11.0,3.0,13.0,0.0,10.0,3.0,91.0,2018.0,1.0,1,0.0,18.0
26.0,14.0,5.0,-11.0,3.0,13.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,1.0,18.0
26.0,14.0,5.0,-11.0,3.0,14.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,2.0,17.0
26.0,14.0,5.0,-11.0,2.0,14.0,0.0,10.0,5.0,91.0,2018.0,1.0,1,3.0,17.0
26.0,14.0,5.0,-11.0,2.0,15.0,0.0,10.0,7.0,91.0,2018.0,1.0,1,4.0,16.0
26.0,14.0,5.0,-11.0,3.0,15.0,0.0,10.0,9.0,91.0,2018.0,1.0,1,5.0,15.0
26.0,14.0,5.0,-11.0,3.0,15.0,0.0,10.0,11.0,91.0,2018.0,1.0,1,6.0,15.0
26.0,14.0,5.0,-11.0,2.0,16.0,0.0,10.0,9.0,91.0,2018.0,1.0,1,7.0,15.0
26.0,14.0,5.0,-11.0,1.0,16.0,0.0,10.0,8.0,91.0,2018.0,1.0,1,8.0,14.0
26.0,14.0,5.0,-11.0,0.0,17.0,0.0,10.0,6.0,91.0,2018.0,1.0,1,9.0,14.0
26.0,14.0,5.0,-11.0,0.0,15.0,0.0,10.0,6.0,91.0,2018.0,1.0,1,10.0,16.0
26.0,14.0,5.0,-11.0,0.0,13.0,0.0,10.0,6.0,91.0,2018.0,1.0,1,11.0,19.0
26.0,14.0,5.0,-11.0,0.0,11.0,0.0,10.0,6.0,91.0,2018.0,1.0,1,12.0,21.0
26.0,14.0,5.0,-10.0,0.0,10.0,0.0,10.0,5.0,91.0,2018.0,1.0,1,13.0,22.0
26.0,14.0,5.0,-10.0,0.0,10.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,14.0,24.0
26.0,14.0,5.0,-9.0,0.0,9.0,0.0,10.0,3.0,91.0,2018.0,1.0,1,15.0,26.0
26.0,14.0,5.0,-8.0,0.0,10.0,0.0,10.0,3.0,91.0,2018.0,1.0,1,16.0,25.0
26.0,14.0,5.0,-8.0,0.0,11.0,0.0,10.0,3.0,91.0,2018.0,1.0,1,17.0,25.0
26.0,14.0,5.0,-7.0,0.0,11.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,18.0,25.0
26.0,14.0,5.0,-8.0,5.0,12.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,19.0,23.0
26.0,14.0,5.0,-9.0,10.0,13.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,20.0,20.0
26.0,14.0,5.0,-10.0,14.0,14.0,0.0,10.0,5.0,91.0,2018.0,1.0,1,21.0,18.0
26.0,14.0,5.0,-10.0,14.0,14.0,0.0,10.0,4.0,91.0,2018.0,1.0,1,22.0,18.0
