maxtempC,mintempC,uvIndex,DewPointC,cloudcover,humidity,precipMM,visibility,windspeedKmph,location,year,month,day,hour,tempC
17.0,6.0,3.0,12.0,100.0,65.0,0.0,10.0,6.0,51.0,2018.0,1.0,1,0.0,19.0
17.0,6.0,3.0,12.0,90.0,65.0,0.0,10.0,7.0,51.0,2018.0,1.0,1,1.0,18.0
17.0,6.0,3.0,12.0,79.0,66.0,0.0,10.0,7.0,51.0,2018.0,1.0,1,2.0,18.0
17.0,6.0,3.0,12.0,69.0,66.0,0.0,10.0,8.0,51.0,2018.0,1.0,1,3.0,18.0
17.0,6.0,3.0,12.0,79.0,70.0,0.0,10.0,6.0,51.0,2018.0,1.0,1,4.0,18.0
17.0,6.0,3.0,12.0,90.0,73.0,0.6,9.0,4.0,51.0,2018.0,1.0,1,5.0,17.0
17.0,6.0,3.0,13.0,100.0,77.0,0.8,9.0,2.0,51.0,2018.0,1.0,1,6.0,17.0
17.0,6.0,3.0,12.0,100.0,78.0,0.4,7.0,10.0,51.0,2018.0,1.0,1,7.0,16.0
17.0,6.0,3.0,12.0,100.0,80.0,0.2,4.0,17.0,51.0,2018.0,1.0,1,8.0,16.0
17.0,6.0,3.0,12.0,100.0,81.0,0.2,2.0,25.0,51.0,2018.0,1.0,1,9.0,15.0
17.0,6.0,3.0,11.0,99.0,79.0,0.1,2.0,23.0,51.0,2018.0,1.0,1,10.0,14.0
17.0,6.0,3.0,10.0,97.0,77.0,0.2,2.0,21.0,51.0,2018.0,1.0,1,11.0,14.0
17.0,6.0,3.0,8.0,96.0,75.0,0.3,2.0,19.0,51.0,2018.0,1.0,1,12.0,13.0
17.0,6.0,3.0,7.0,97.0,72.0,0.1,5.0,21.0,51.0,2018.0,1.0,1,13.0,12.0
17.0,6.0,3.0,5.0,98.0,70.0,0.0,7.0,24.0,51.0,2018.0,1.0,1,14.0,10.0
17.0,6.0,3.0,3.0,100.0,67.0,0.0,10.0,26.0,51.0,2018.0,1.0,1,15.0,9.0
17.0,6.0,3.0,3.0,100.0,68.0,0.0,10.0,26.0,51.0,2018.0,1.0,1,16.0,8.0
17.0,6.0,3.0,2.0,100.0,68.0,0.0,10.0,26.0,51.0,2018.0,1.0,1,17.0,8.0
17.0,6.0,3.0,1.0,100.0,68.0,0.0,10.0,26.0,51.0,2018.0,1.0,1,18.0,7.0
17.0,6.0,3.0,-0.0,100.0,64.0,0.0,10.0,27.0,51.0,2018.0,1.0,1,19.0,6.0
